Reported Date,Firm,FromGrade,ToGrade,Outlook
4/27/2022,Morgan Stanley,,Overweight,main
4/27/2022,Baird,Outperform,Outperform,main
4/29/2022,Piper Sandler,Overweight,Neutral,down
5/1/2022,Baird,Outperform,Outperform,main
5/2/2022,Barclays,,Overweight,main
5/11/2022,Baird,Outperform,Outperform,main
5/23/2022,Jefferies,Buy,Buy,main
6/28/2022,Baird,Outperform,Outperform,main
6/30/2022,Truist Securities,Buy,Buy,main
7/1/2022,Mizuho,,Neutral,main
7/6/2022,Piper Sandler,,Overweight,main
7/12/2022,RBC Capital,Outperform,Outperform,main
7/13/2022,Wells Fargo,,Overweight,main
7/22/2022,Credit Suisse,Outperform,Outperform,main
7/25/2022,Oppenheimer,,Outperform,main
7/26/2022,Citigroup,Buy,Buy,main
7/27/2022,Macquarie,,Outperform,main
7/27/2022,JP Morgan,Overweight,Overweight,main
7/27/2022,UBS,,Buy,main
7/27/2022,RBC Capital,Outperform,Outperform,main
7/27/2022,Morgan Stanley,,Overweight,main
7/28/2022,Raymond James,,Outperform,main
7/28/2022,Barclays,,Overweight,main
7/28/2022,BMO Capital,,Outperform,main
7/29/2022,Mizuho,,Neutral,main
8/2/2022,Baird,Outperform,Outperform,main
8/16/2022,JP Morgan,Overweight,Overweight,main
8/31/2022,UBS,Buy,Buy,main
8/31/2022,Baird,Outperform,Outperform,main
10/3/2022,Morgan Stanley,,Overweight,main
10/7/2022,Wells Fargo,,Overweight,main
10/12/2022,Baird,,Outperform,main
10/13/2022,Truist Securities,,Buy,main
10/13/2022,Deutsche Bank,,Buy,main
10/18/2022,Raymond James,,Outperform,main
10/19/2022,Jefferies,,Buy,main
10/26/2022,JP Morgan,Overweight,Overweight,main
10/26/2022,Credit Suisse,,Outperform,main
10/26/2022,Citigroup,,Buy,main
10/26/2022,Truist Securities,Buy,Buy,main
10/26/2022,Oppenheimer,,Outperform,main
10/26/2022,Morgan Stanley,,Overweight,main
10/26/2022,Jefferies,Buy,Buy,main
10/27/2022,Barclays,,Overweight,main
10/27/2022,BMO Capital,,Outperform,main
11/25/2022,Baird,Outperform,Outperform,main
11/29/2022,Redburn Partners,,Sell,init
12/2/2022,Wells Fargo,,Overweight,main
12/15/2022,UBS,,Buy,main
1/9/2023,Keybanc,Sector Weight,Overweight,up
1/18/2023,Jefferies,,Buy,main
1/19/2023,Baird,,Outperform,main
1/20/2023,Truist Securities,Buy,Buy,main
1/23/2023,Barclays,,Overweight,main
1/25/2023,Oppenheimer,,Outperform,main
1/26/2023,B of A Securities,Buy,Buy,main
1/27/2023,Credit Suisse,,Outperform,main
1/27/2023,Raymond James,,Outperform,main
1/27/2023,Wells Fargo,,Overweight,main
1/27/2023,BMO Capital,,Outperform,main
1/27/2023,JP Morgan,,Overweight,main
1/27/2023,UBS,Buy,Buy,main
1/27/2023,Morgan Stanley,,Overweight,main
1/27/2023,Citigroup,Buy,Buy,main
1/30/2023,Mizuho,,Neutral,main
1/30/2023,Barclays,,Overweight,main
2/20/2023,Baird,Outperform,Outperform,main
3/3/2023,B of A Securities,Buy,Buy,main
4/12/2023,UBS,Buy,Buy,main
4/17/2023,Citigroup,,Buy,main
4/19/2023,Oppenheimer,,Outperform,main
4/19/2023,Bernstein,Outperform,Outperform,main
4/24/2023,Keybanc,,Overweight,main
