rank,Company,Symbol,Weight (Percentage),Price,Chg,Change (Percentage)
117,Kla Corporation,KLAC,0.17,617.51,1.85,0.3
118,Cme Group Inc.,CME,0.17,228.52,-1.14,-0.5
119,Aon Plc Class A,AON,0.16,379.87,0.72,0.19
120,Cadence Design Systems,CDNS,0.16,302.58,2.94,0.98
121,Synopsys Inc,SNPS,0.16,541.5,7.48,1.4
122,Crowdstrike Holdings Inc. Class A,CRWD,0.16,349.03,-4.26,-1.21
123,Pnc Financial Services Group,PNC,0.16,204.66,-0.2,-0.1
124,Motorola Solutions Inc.,MSI,0.16,492.86,5.4,1.11
125,Chipotle Mexican Grill Inc.,CMG,0.16,58.68,-0.05,-0.09
126,Waste Management Inc.,WM,0.16,218.08,-0.98,-0.45
127,Welltower Inc.,WELL,0.16,137.92,-0.26,-0.19
128,Mckesson Corporation,MCK,0.16,622.77,7.12,1.16
129,Zoetis Inc.,ZTS,0.16,174.42,-1.14,-0.65
130,Regeneron Pharmaceuticals Inc,REGN,0.16,745.75,1.15,0.15
131,U.S. Bancorp,USB,0.16,50.74,0.34,0.66
132,Eog Resources Inc.,EOG,0.15,136.26,1.08,0.8
133,Colgate-Palmolive Company,CL,0.15,93.84,0.23,0.25
134,Cintas Corp,CTAS,0.15,221.54,3.57,1.64
135,Emerson Electric Co.,EMR,0.15,129.06,-0.5,-0.39
136,Moody's Corporation,MCO,0.15,473.38,4.6,0.98
137,Constellation Energy Corporation,CEG,0.15,235.97,1.38,0.59
138,Air Products & Chemicals Inc.,APD,0.15,326.63,-1.37,-0.42
139,General Dynamics Corporation,GD,0.14,282.12,1.16,0.41
140,Illinois Tool Works Inc.,ITW,0.14,266.12,-0.34,-0.13
141,Target Corporation,TGT,0.14,121.68,-34.32,-22.0
142,Williams Companies Inc.,WMB,0.14,58.67,0.06,0.11
143,3m Company,MMM,0.14,127.5,-0.69,-0.54
144,Transdigm Group Incorporated,TDG,0.14,1293.54,42.92,3.43
145,Cvs Health Corporation,CVS,0.14,56.88,1.11,2.0
146,O'reilly Automotive Inc.,ORLY,0.14,1188.87,-11.72,-0.98
147,Capital One Financial,COF,0.14,179.79,-1.22,-0.67
148,Northrop Grumman Corp.,NOC,0.13,493.02,2.0,0.41
149,Csx Corporation,CSX,0.13,34.64,0.03,0.1
150,Oneok Inc.,OKE,0.13,112.71,-0.41,-0.36
151,Fedex Corporation,FDX,0.13,288.55,-4.51,-1.54
152,Autodesk Inc,ADSK,0.13,309.22,4.02,1.32
153,Marriot International Class A,MAR,0.13,280.39,1.12,0.4
154,Becton Dickinson and Co.,BDX,0.13,221.5,-1.14,-0.51
155,Arthur J. Gallagher & Co.,AJG,0.13,295.94,3.44,1.18
156,Freeport-Mcmoran Inc.,FCX,0.13,43.84,-0.28,-0.65
157,Truist Financial Corporation,TFC,0.12,46.49,-0.14,-0.31
158,Carrier Global Corporation,CARR,0.12,74.5,0.17,0.22
159,Hca Healthcare Inc.,HCA,0.12,333.27,-1.85,-0.55
160,General Motors Company,GM,0.12,54.84,-0.27,-0.5
161,Ecolab Inc.,ECL,0.12,241.73,-2.57,-1.05
162,Hilton Worldwide Holdings Inc.,HLT,0.12,250.11,0.34,0.14
163,Schlumberger Limited,SLB,0.12,43.17,0.07,0.16
164,Sempra,SRE,0.12,92.68,-0.7,-0.75
165,The Travelers Companies Inc.,TRV,0.12,257.19,-2.08,-0.8
166,Roper Technologies Inc.,ROP,0.12,549.45,1.49,0.27
167,Norfolk Southern Corp.,NSC,0.12,258.97,-0.74,-0.28
168,Paccar Inc,PCAR,0.12,109.84,-0.55,-0.49
169,Airbnb Inc. Class A,ABNB,0.12,134.53,3.09,2.35
170,Fortinet Inc.,FTNT,0.12,92.18,1.39,1.53
171,Digital Realty Trust Inc.,DLR,0.12,187.32,0.05,0.03
172,Bank of New York Mellon Corporation,BK,0.11,77.82,0.21,0.27
173,Nxp Semiconductors N.v.,NXPI,0.11,221.5,1.59,0.72
174,Fair Isaac Corporation,FICO,0.11,2315.38,30.95,1.35
175,Johnson Controls International Plc,JCI,0.11,82.97,-0.56,-0.67
176,Aflac Inc.,AFL,0.11,110.95,-0.18,-0.16
177,Royal Caribbean Group,RCL,0.11,237.49,2.82,1.2
178,Simon Property Group Inc.,SPG,0.11,181.27,0.05,0.03
179,Ameriprise Financial Inc.,AMP,0.11,561.39,-1.17,-0.21
180,Phillips 66,PSX,0.11,131.4,0.46,0.35
181,United Rentals Inc.,URI,0.11,818.75,-2.41,-0.29
182,Kinder Morgan Inc.,KMI,0.11,27.8,-0.28,-1.0
183,Vistra Corp.,VST,0.11,155.38,0.51,0.33
184,Autozone Inc.,AZO,0.11,3052.91,-54.0,-1.74
185,Marathon Petroleum Corporation,MPC,0.11,159.48,0.68,0.43
186,Public Storage,PSA,0.11,332.83,-1.63,-0.49
187,W.W. Grainger Inc.,GWW,0.1,1161.09,-10.98,-0.94
188,The Allstate Corporation,ALL,0.1,197.31,0.71,0.36
189,American Electric Power Company Inc.,AEP,0.1,97.03,0.33,0.34
190,Realty Income Corporation,O,0.1,56.87,-0.31,-0.55
